system:index,ID,date,month,system:band_names,system:bands,system:time_start,timeFormat,year,.geo
0,1979-01-01T00:00:00,1979-01-01T00:00:00,1.0,[total_precipitation],<Element>,283996800000,1979-01-01T00:00,1979.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
1,1979-02-01T00:00:00,1979-02-01T00:00:00,2.0,[total_precipitation],<Element>,286675200000,1979-02-01T00:00,1979.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
2,1979-03-01T00:00:00,1979-03-01T00:00:00,3.0,[total_precipitation],<Element>,289094400000,1979-03-01T00:00,1979.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
3,1979-04-01T00:00:00,1979-04-01T00:00:00,4.0,[total_precipitation],<Element>,291772800000,1979-04-01T00:00,1979.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
4,1979-05-01T00:00:00,1979-05-01T00:00:00,5.0,[total_precipitation],<Element>,294364800000,1979-05-01T00:00,1979.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
5,1979-06-01T00:00:00,1979-06-01T00:00:00,6.0,[total_precipitation],<Element>,297043200000,1979-06-01T00:00,1979.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
6,1979-07-01T00:00:00,1979-07-01T00:00:00,7.0,[total_precipitation],<Element>,299635200000,1979-07-01T00:00,1979.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
7,1979-08-01T00:00:00,1979-08-01T00:00:00,8.0,[total_precipitation],<Element>,302313600000,1979-08-01T00:00,1979.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
8,1979-09-01T00:00:00,1979-09-01T00:00:00,9.0,[total_precipitation],<Element>,304992000000,1979-09-01T00:00,1979.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
9,1979-10-01T00:00:00,1979-10-01T00:00:00,10.0,[total_precipitation],<Element>,307584000000,1979-10-01T00:00,1979.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
10,1979-11-01T00:00:00,1979-11-01T00:00:00,11.0,[total_precipitation],<Element>,310262400000,1979-11-01T00:00,1979.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
11,1979-12-01T00:00:00,1979-12-01T00:00:00,12.0,[total_precipitation],<Element>,312854400000,1979-12-01T00:00,1979.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
12,1980-01-01T00:00:00,1980-01-01T00:00:00,1.0,[total_precipitation],<Element>,315532800000,1980-01-01T00:00,1980.0,"{""type"":""Polygon"",""coordinates"":[[[-180.0,-90.0],[180.0,-90.0],[180.0,90.0],[-180.0,90.0],[-180.0,-90.0]]]}"
